12/5/19 3:50,"....”I would like to have the Attorney General (of the United States) call you or your people.....” This, based on… https://t.co/WRn9fT6iwG",,,,,,,,,,,,Date,Time,,
11/23/19 17:05,".....Brennan, too. And the Whistleblower also worked for Susan Rice. It’s an understatement to say that this is a W… https://t.co/Kc4WtfYQbo",,,,,,,,,,,,11/23/19,17:18:00,,
11/23/19 17:05,"“The Democrats dirty tricks have started this whole thing. The Whistleblower, the guy who took his case to Schiff’s… https://t.co/ufbUmLQFvs",,,,,,,,,,,,11/23/19,17:05:49,,
11/23/19 16:25,"Joe Concha, The Hill: “In Emerson College Poll, Impeachment among independents, 49% Oppose, 34% Support. You see wh… https://t.co/bocPR9Om0g",,,,,,,,,,,,11/23/19,17:05:44,,
11/23/19 15:17,"Adam Schiff will be compelled to testify should the Democrats decide, despite the fact that my presidential convers… https://t.co/bD2rqpRbSx",,,,,,,,,,,,11/23/19,16:25:37,,
11/23/19 2:28,“The support for Impeachment is not there. I think the Democrats will have to come up with a new game plan.” @jasoninthehouse @FoxNews,,,,,,,,,,,,11/23/19,15:17:06,,
11/22/19 23:55,https://t.co/Mn4EJ7Jbh8,,,,,,,,,,,,11/23/19,2:28:48,,
11/22/19 19:04,...House Republicans are showing real LEADERSHIP and prepared to enact bipartisan solutions for drug prices. Do Not… https://t.co/YkzY7kPOKw,,,,,,,,,,,,11/22/19,23:55:37,,
11/22/19 19:04,...Pelosi and her Do Nothing Democrats drug pricing bill doesn’t do the trick. FEWER cures! FEWER treatments! Time… https://t.co/DPhFX0VKoO,,,,,,,,,,,,11/22/19,19:04:35,,
11/22/19 19:04,"...While we had the first prescription drug price decrease in 50 years, Americans still pay far too much for drugs… https://t.co/1qy4kNPIg1",,,,,,,,,,,,11/22/19,19:04:35,,
11/22/19 19:04,.@SecAzar and I will soon release a plan to let Florida and other States import prescription drugs that are MUCH CH… https://t.co/KUCvUfA3JU,,,,,,,,,,,,11/22/19,19:04:35,,
11/22/19 18:53,Thank you to @senatemajldr Mitch McConnell and @GOPLeader Kevin McCarthy for their Great Leadership! There has neve… https://t.co/4armKSJjEo,,,,,,,,,,,,11/22/19,19:04:34,,
11/22/19 12:13,"I will be interviewed on @foxandfriends this morning at 8:00 A.M. I know that there’s not much to talk about, but w… https://t.co/m84uCLYbSw",,,,,,,,,,,,11/22/19,18:53:37,,
11/22/19 12:05,"“Former FBI Employee Accused of Altering FISA Documents.” Hello, here we go! @foxandfriends",,,,,,,,,,,,11/22/19,12:13:39,,
11/22/19 4:36,https://t.co/h92LyjD0Eh,,,,,,,,,,,,11/22/19,12:05:23,,
11/22/19 4:09,"Thank you @EliseStefanik and @SteveScalise, GREAT JOB! https://t.co/K8qQbCAXbj",,,,,,,,,,,,11/22/19,4:36:49,,
11/22/19 4:04,https://t.co/HvYx12NUkS,,,,,,,,,,,,11/22/19,4:09:52,,
11/22/19 4:00,MARK LEVIN ON IMPEACHMENT HYSTERIA! https://t.co/sFT4qGqajO,,,,,,,,,,,,11/22/19,4:04:59,,
11/22/19 3:39,"""SCHIFF'S CHARADE"" @SeanHannity https://t.co/Go2HsiEyTT",,,,,,,,,,,,11/22/19,4:00:48,,
11/22/19 2:35,"SCHIFF'S ""FACT"" WITNESSES! https://t.co/Pab2y1BVoN",,,,,,,,,,,,11/22/19,3:39:44,,
11/21/19 17:54,"....They want ZERO transparency, thinking the world will not find out the death and tragedy that the Iranian Regime is causing!",,,,,,,,,,,,11/22/19,2:35:31,,
11/21/19 17:54,Iran has become so unstable that the regime has shut down their entire Internet System so that the Great Iranian pe… https://t.co/I4vU4GBbP3,,,,,,,,,,,,11/21/19,17:54:26,,
11/21/19 15:18,.....President Trump said the Ukraine President should just do the right thing (No Quid Pro Quo). You shouldn’t cha… https://t.co/KYCFRafcXe,,,,,,,,,,,,11/21/19,17:54:25,,
11/21/19 15:18,"Ken Starr, Former Independent Counsel: “Does this reach the level of treason, bribery or other high crimes and misd… https://t.co/q8Eq3y6IDs",,,,,,,,,,,,11/21/19,15:18:33,,
11/21/19 14:27,"I have been watching people making phone calls my entire life. My hearing is, and has been, great. Never have I bee… https://t.co/VR26t3fTci",,,,,,,,,,,,11/21/19,15:18:31,,
11/21/19 14:19,Read the two Transcripts of Ukrainian calls!,,,,,,,,,,,,11/21/19,14:27:40,,
11/21/19 13:30,The Navy will NOT be taking away Warfighter and Navy Seal Eddie Gallagher’s Trident Pin. This case was handled very… https://t.co/bnsXBbbApf,,,,,,,,,,,,11/21/19,14:19:31,,
11/21/19 13:16,....”Nothing gives Schiff jurisdiction over Impeachment.”,,,,,,,,,,,,11/21/19,13:30:21,,
11/21/19 13:16,“The new House Resolution gives Adam Schiff (the most dishonest man in politics) the power unilaterally to release… https://t.co/ecrEKSidQl,,,,,,,,,,,,11/21/19,13:16:50,,
11/21/19 13:15,".....But we are winning big, and they will soon be on our turf.",,,,,,,,,,,,11/21/19,13:16:48,,
11/21/19 13:15,"Corrupt politician Adam Schiff’s lies are growing by the day. Keep fighting tough, Republicans, you are dealing wit… https://t.co/pApmJBCJtk",,,,,,,,,,,,11/21/19,13:15:27,,
11/21/19 13:08,"I never in my wildest dreams thought my name would in any way be associated with the ugly word, Impeachment! The ca… https://t.co/dmAnTrffL1",,,,,,,,,,,,11/21/19,13:15:26,,
11/21/19 13:03,“Freed Taliban hostages arrive in Germany.” @foxandfriends  @FoxNews @OANN  We got them back!,,,,,,,,,,,,11/21/19,13:08:33,,
11/21/19 12:58,".....President before. What they are doing is not legal. But I’m clean, and when I release my financial statement (… https://t.co/cF6G4yPpoe",,,,,,,,,,,,11/21/19,13:03:28,,
11/21/19 12:58,"Bob Mueller, after spending two years and 45 million dollars, went over all of my financials, &amp; my taxes, and found… https://t.co/o4PI9n5QCM",,,,,,,,,,,,11/21/19,12:58:58,,
11/21/19 12:32,"The Republican Party, and me, had a GREAT day yesterday with respect to the phony Impeachment Hoax, &amp; yet, when I g… https://t.co/gQBg3cjfLJ",,,,,,,,,,,,11/21/19,12:58:57,,
11/21/19 12:31,"During my visit yesterday to Austin, Texas, for the startup of the new Mac Pro, &amp; the discussion of a new one $bill… https://t.co/YB27KtIrRL",,,,,,,,,,,,11/21/19,12:32:50,,
11/21/19 12:26,"Why do @ShannonBream &amp; @FoxNews waste airtime on Democrat Rep. Eric Swalwell, who recently left the Presidential Pr… https://t.co/plriOIZ2lE",,,,,,,,,,,,11/21/19,12:31:40,,
11/21/19 2:47,https://t.co/osezECwPO1,,,,,,,,,,,,11/21/19,12:26:31,,
11/21/19 1:22,Poll: Trump leads top 2020 Democrats in Wisconsin https://t.co/P7z7Si8I0h.,,,,,,,,,,,,11/21/19,2:47:50,,
